Week,Revenue,Units_Sold
2024-01-08,5701542.37,50743
2024-01-15,5684702.65,50547
2024-01-22,5739946.61,51114
2024-01-29,5554736.62,49589
2024-02-05,5527686.14,49131
2024-02-12,5481834.78,48983
2024-02-19,5481204.93,48819
2024-02-26,5757462.11,51149
2024-03-04,5965930.79,53140
2024-03-11,5960444.29,53097
2024-03-18,5996663.03,53337
2024-03-25,5938262.62,52927
2024-04-01,6033093.39,53676
2024-04-08,5985489.28,53186
2024-04-15,6012611.98,53549
2024-04-22,6005621.9,53559
2024-04-29,6079031.89,54387
2024-05-06,6065431.86,54231
2024-05-13,6063442.86,54023
2024-05-20,6144893.08,54698
2024-05-27,5873635.3,52222
2024-06-03,5426110.14,48259
2024-06-10,5376346.11,47750
2024-06-17,5336192.35,47871
2024-06-24,5394386.3,48104
2024-07-01,5276321.44,46825
2024-07-08,5241953.55,46722
2024-07-15,5252605.05,46607
2024-07-22,5247248.58,46671
2024-07-29,5324742.94,47374
2024-08-05,5393833.07,47945
2024-08-12,5405536.39,48231
2024-08-19,5408968.66,48211
2024-08-26,5551673.37,49280
2024-09-02,6336226.32,56027
2024-09-09,6320539.59,56292
2024-09-16,6313544.92,56187
2024-09-23,6298907.72,56121
2024-09-30,7094785.06,62843
2024-10-07,7208792.34,64162
2024-10-14,7136063.1,63474
2024-10-21,7177175.98,63926
2024-10-28,7583327.85,67722
2024-11-04,8017655.01,71682
2024-11-11,8107262.28,72111
2024-11-18,8166520.68,72440
2024-11-25,8074287.32,71986
2024-12-02,7792558.04,69466
2024-12-09,7750832.7,69162
2024-12-16,7806123.72,69440
2024-12-23,7802476.58,69343
2024-12-30,6467178.73,57307
2025-01-06,5942827.41,52998
2025-01-13,5999700.6,53051
2025-01-20,6008395.64,53241
2025-01-27,5913538.48,52636
2025-02-03,5836394.44,51973
2025-02-10,5748332.67,51134
2025-02-17,5763712.83,51260
2025-02-24,5945359.04,53046
2025-03-03,6280412.72,55699
2025-03-10,6294987.91,56039
2025-03-17,6299622.89,56228
2025-03-24,6322542.93,56264
2025-03-31,6361992.65,56517
2025-04-07,6314288.17,56154
2025-04-14,6290969.57,55996
2025-04-21,6270151.65,55842
2025-04-28,6381297.18,57135
2025-05-05,6421419.54,56981
2025-05-12,6435991.56,57130
2025-05-19,6460384.93,57362
2025-05-26,6327156.67,56363
2025-06-02,5681477.51,50532
2025-06-09,5688322.3,50736
2025-06-16,5639962.81,50096
2025-06-23,5680912.74,50625
2025-06-30,5562717.84,49438
2025-07-07,5498887.56,49108
2025-07-14,5554462.69,49388
2025-07-21,5541583.01,49342
2025-07-28,5676158.65,50289
2025-08-04,5641786.24,50339
2025-08-11,5626613.33,50323
2025-08-18,5691842.91,50631
2025-08-25,5669881.23,50527
2025-09-01,6587258.77,58530
2025-09-08,6571477.81,58573
2025-09-15,6593964.2,58624
2025-09-22,6580499.22,58787
2025-09-29,7283312.18,65066
2025-10-06,7543604.69,66945
2025-10-13,7549050.93,67249
2025-10-20,7535918.95,67099
2025-10-27,7847502.82,69744
2025-11-03,8442472.05,75285
2025-11-10,8460405.45,75503
2025-11-17,8515847.01,76075
2025-11-24,8455036.59,75391
2025-12-01,8168757.61,72871
2025-12-08,8165980.5,72893
2025-12-15,8151577.04,72779
2025-12-22,8128962.55,72440
2025-12-29,3185170.03,28373
